rank,research_tier,confidence,ticker,company_name,industry,market_cap,short_float_pct,short_float_source,short_float_note,days_to_cover,float_shares,avg_volume,catalyst_type,catalyst_date,catalyst_window_start,catalyst_window_end,catalyst_sources,catalyst_detail,cash_usd,quarterly_burn_usd,runway_quarters,dilution_risk,prev_seen,date_moved,short_float_change
1,FULL,SOFT,D,DiaMedica Therapeutics Inc,Biotechnology / Drug Manufacturers - Specialty & Generic,377.48M,19.9,finviz,yfinance unavailable,28.51,27110000,189190,Ph3 completion,2026-12,2026-12-01,2026-12-31,CT.gov,CT.gov NCT05065216 PCD 2026-12 [ESTIMATED] Treatment of Acute Ischemic Stroke (ReMEDy2 Trial),351000000,,,LOW,new,,
2,FULL,SOFT,M,Veradermics Inc,Biotechnology,4.53B,13.31,finviz,yfinance unavailable,5.37,30250000,749980,Ph3 completion,2026-12,2026-12-01,2026-12-31,CT.gov,CT.gov NCT06972264 PCD 2026-12 [ESTIMATED] Safety and Efficacy of VDPHL01 in Males With AGA,1294000000,,,LOW,new,,
